BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT
3838.66000000,107.69000000,5.47660000,0.35428000,0.04031000
3948.91000000,115.20000000,5.83980000,0.35644000,0.04156000
3929.71000000,129.03000000,5.95900000,0.36690000,0.04369000
4008.01000000,138.03000000,6.09790000,0.40092000,0.04499000
3745.79000000,127.60000000,5.45000000,0.37598000,0.04107000
3777.74000000,129.35000000,5.60290000,0.37253000,0.04060000
3567.91000000,113.80000000,5.17910000,0.33368000,0.03611000
3839.26000000,135.30000000,5.88110000,0.36997000,0.04111000
3695.32000000,132.89000000,5.66000000,0.35593000,0.04049000
3801.91000000,137.77000000,5.89390000,0.36489000,0.04263000
3702.90000000,131.45000000,6.11110000,0.34849000,0.04054000
3797.14000000,139.10000000,5.99100000,0.36080000,0.04198000
3858.56000000,152.01000000,6.05100000,0.36882000,0.04433000
3766.78000000,146.30000000,5.79790000,0.35240000,0.04205000
3792.01000000,151.97000000,5.96920000,0.35308000,0.04301000
3770.96000000,152.83000000,5.96250000,0.34851000,0.04403000
3987.60000000,153.86000000,6.26880000,0.36042000,0.04822000
3975.45000000,149.34000000,6.20090000,0.36022000,0.04755000
3955.13000000,147.60000000,6.51280000,0.36073000,0.04780000
3966.65000000,148.10000000,6.55110000,0.36480000,0.05144000
3585.88000000,124.95000000,5.84490000,0.32464000,0.04366000
3601.31000000,124.65000000,5.95950000,0.32580000,0.04330000
3583.13000000,123.35000000,5.85940000,0.32557000,0.04288000
3476.81000000,114.16000000,5.46880000,0.31132000,0.03944000
3626.09000000,126.95000000,6.05830000,0.32871000,0.04343000
3553.06000000,118.95000000,5.81110000,0.32150000,0.04201000
3591.84000000,121.48000000,6.09110000,0.32570000,0.04419000
3616.21000000,121.54000000,6.32660000,0.32489000,0.04471000
3594.87000000,119.17000000,6.48670000,0.32036000,0.04372000
3665.30000000,122.60000000,6.51990000,0.32670000,0.04515000
3539.28000000,117.47000000,6.40080000,0.31680000,0.04287000
3526.90000000,115.63000000,6.47240000,0.31767000,0.04251000
3570.93000000,117.81000000,6.47360000,0.31762000,0.04334000
3552.82000000,116.44000000,6.49690000,0.31415000,0.04266000
3569.62000000,116.39000000,6.45880000,0.31593000,0.04284000
3565.29000000,115.11000000,6.68990000,0.31384000,0.04240000
3565.25000000,115.34000000,6.94630000,0.31258000,0.04241000
3550.84000000,112.05000000,7.03960000,0.30646000,0.04087000
3434.15000000,105.50000000,6.16480000,0.29223000,0.03855000
3411.04000000,104.45000000,6.16610000,0.28693000,0.03796000
3458.18000000,108.29000000,6.13880000,0.32109000,0.03953000
3434.10000000,106.44000000,6.22000000,0.30911000,0.03824000
3462.07000000,106.73000000,6.52290000,0.30624000,0.03857000
3504.77000000,110.42000000,6.86550000,0.31030000,0.03929000
3458.11000000,107.36000000,6.78870000,0.30219000,0.03824000
3463.22000000,107.68000000,7.10690000,0.29939000,0.03799000
3471.59000000,107.27000000,7.86650000,0.29972000,0.03805000
3405.37000000,104.50000000,8.13030000,0.28940000,0.03667000
